Country,Region,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption),Dystopia Residual,Year,Happiness Rank
Mali,Sub-Saharan Africa,4.729300021999999,7.629852295,0.7314689759999999,51.72698212,0.71156615,-0.044366925999999994,0.839328408,2.559335232,2020,114
Nigeria,Sub-Saharan Africa,4.724100113,8.57662487,0.73721689,49.86190796,0.759578407,0.033745807,0.861874342,2.2196354869999997,2020,115
Armenia,Commonwealth of Independent States,4.676799774,9.100476265,0.7574794290000001,66.75065613,0.7120178340000001,-0.13877961,0.7735447879999999,1.468161583,2020,116
Georgia,Commonwealth of Independent States,4.672599792,9.226100922,0.629033029,64.49520874,0.8016415240000001,-0.22892037,0.665944695,1.69239831,2020,117
Iran,Middle East and North Africa,4.672399998,9.813719749,0.6946896909999999,66.00614929,0.647873282,0.11789110300000001,0.714635968,1.286969423,2020,118
Jordan,Middle East and North Africa,4.6333999630000005,9.025999069,0.80216372,66.79975128,0.75104779,-0.162565202,0.700344324,1.262258053,2020,119
Mozambique,Sub-Saharan Africa,4.623600006,7.069345951,0.723874032,54.20582199,0.864451885,0.032375867999999995,0.683019102,2.221216202,2020,120
Kenya,Sub-Saharan Africa,4.583000183,8.02977562,0.702652037,60.09693146,0.829747558,0.294681519,0.831499159,1.684904575,2020,121
Namibia,Sub-Saharan Africa,4.571100235,9.203141212,0.846880972,56.50148773,0.767520964,-0.18530646,0.8514497879999999,1.5030331609999998,2020,122
Ukraine,Commonwealth of Independent States,4.56069994,9.010690689,0.878879368,64.60678101,0.663081884,-0.030933706000000002,0.920636714,1.2526693340000001,2020,123
Liberia,Sub-Saharan Africa,4.557899952,7.054380417000001,0.70928055,56.09631348,0.735268712,0.04227322,0.8563759329999999,2.386757851,2020,124
Palestinian Territories,Middle East and North Africa,4.552800179,8.389223099,0.825295925,62.25,0.645791829,-0.162079096,0.824199975,1.693985701,2020,125
Uganda,Sub-Saharan Africa,4.43200016,7.500389576,0.7649946209999999,55.70820236,0.7317139509999999,0.099487431,0.8367378120000001,1.9586710930000002,2020,126
Chad,Sub-Saharan Africa,4.422699928,7.467963696,0.632388055,48.22053909,0.587305248,0.017834719,0.8027608390000001,2.74742651,2020,127
Tunisia,Middle East and North Africa,4.392199993,9.314972877999999,0.6887185570000001,66.89785767,0.593361557,-0.216413811,0.867590249,1.528496742,2020,128
Mauritania,Sub-Saharan Africa,4.374599934,8.233919144,0.7908192279999999,57.01017761,0.551522553,-0.10600814199999999,0.746223509,1.85955739,2020,129
Sri Lanka,South Asia,4.327000141,9.389969826,0.825374067,67.20006561,0.837633669,0.081129618,0.859001756,0.611288548,2020,130
Congo (Kinshasa),Sub-Saharan Africa,4.31099987,6.694256306000001,0.6721590159999999,52.90000153,0.700793564,0.083637655,0.809403598,2.437864304,2020,131
Swaziland,Sub-Saharan Africa,4.3081002239999995,9.16267395,0.7702901959999999,51.18823624,0.646822274,-0.19920142,0.708263338,1.6862072940000001,2020,132
Myanmar,Southeast Asia,4.308000088,8.680481911000001,0.78440702,58.96171188,0.895075202,0.560663998,0.645124316,0.6814625259999999,2020,133
Comoros,Sub-Saharan Africa,4.288599968,7.833630085,0.625662446,57.34901047,0.547612607,0.09000840800000001,0.780622602,2.17276907,2020,134
Togo,Sub-Saharan Africa,4.187200069,7.357711315,0.551312625,54.71989822,0.6498286129999999,0.002667875,0.7577334640000001,2.409595251,2020,135
Ethiopia,Sub-Saharan Africa,4.186200142,7.5093855860000005,0.743307352,58.63959122,0.740795195,0.043377332000000005,0.7536900040000001,1.628459215,2020,136
Madagascar,Sub-Saharan Africa,4.165599823,7.281685829,0.668195903,59.10542679,0.5575740929999999,-0.011823638999999999,0.8174856309999999,2.136298418,2020,137
Egypt,Middle East and North Africa,4.151400089,9.316541672,0.7354478240000001,61.78015137,0.708354175,-0.196878314,0.787726879,1.158818245,2020,138
Sierra Leone,Sub-Saharan Africa,3.926399946,7.26880312,0.636142015,50.86514282,0.715315044,0.088660747,0.861330688,2.046271801,2020,139
Burundi,Sub-Saharan Africa,3.775300026,6.492642403,0.490325719,53.40000153,0.626350224,-0.017551597,0.606934547,2.4015073780000002,2020,140
Zambia,Sub-Saharan Africa,3.759399891,8.224720001,0.698824465,55.29937744,0.806500256,0.078037128,0.801289678,1.134339333,2020,141
Haiti,Latin America and Caribbean,3.720799923,7.411329268999999,0.593247831,55.59862518,0.537825167,0.40053457,0.6847672459999999,1.619916916,2020,142
Lesotho,Sub-Saharan Africa,3.6528000830000003,7.9604883189999995,0.7804957029999999,48.00362396,0.738125861,-0.145732045,0.857392073,1.445513964,2020,143
India,South Asia,3.573299885,8.849823952000001,0.592200935,60.21518707,0.8814448709999999,0.057551607000000005,0.772042692,0.7341308590000001,2020,144
Malawi,Sub-Saharan Africa,3.538000107,7.062226295,0.544007301,57.59288788,0.803223193,0.021433279,0.731700778,1.5527182819999998,2020,145
Yemen,Middle East and North Africa,3.5274000169999997,7.759682655,0.817980587,56.72728348,0.599920273,-0.157735437,0.800287724,1.1164727209999998,2020,146
Botswana,Sub-Saharan Africa,3.4788999560000002,9.711203575,0.7791217570000001,58.92445374,0.8213281040000001,-0.250394493,0.777930915,0.25724053399999997,2020,147
Tanzania,Sub-Saharan Africa,3.4762001039999997,7.967665195,0.6889331940000001,57.49607468,0.82153976,0.10966868699999999,0.619799435,0.718963385,2020,148
Central African Republic,Sub-Saharan Africa,3.475899935,6.625160217,0.31945985600000004,45.20000076,0.640880644,0.082410358,0.891806662,2.8601975439999996,2020,149
Rwanda,Sub-Saharan Africa,3.312299967,7.600104332000001,0.54083544,61.09884644,0.9005894059999999,0.055483952,0.183541179,0.548444986,2020,150
Zimbabwe,Sub-Saharan Africa,3.2992000580000003,7.865711688999999,0.7630927559999999,55.61725998,0.711457908,-0.072063953,0.81023699,0.841031075,2020,151
South Sudan,Sub-Saharan Africa,2.8166000839999996,7.425359726,0.553707123,51.0,0.451313615,0.016518548,0.7634173040000001,1.3787512780000002,2020,152
Afghanistan,South Asia,2.566900015,7.4628605839999995,0.470366955,52.59000015,0.39657300700000003,-0.0964294,0.9336865540000001,1.507235646,2020,153
